County Name,Rate or Count,Type of Drug Class,Type of Rate or Count Measure,Time Measure,Year,Time Period,Quarter Date Start,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
ARMSTRONG,"11,919",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,3,03,42,005,"(40.8150952555, -79.4731689893)",834,106,11,15,41
INDIANA,"21,673",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,32,32,42,063,"(40.6529549748, -79.0933349286)",415,269,27,15,19
CLARION,"6,762",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,16,16,42,031,"(41.1927912877, -79.4248360769)","1,081",46,24,5,7
NORTHAMPTON,"51,706",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,48,48,42,095,"(40.754595404, -75.3126372576)","1,339",280,113,38,59
LACKAWANNA,"59,698",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q4,10/01/2016,35,35,42,069,"(41.4391006428, -75.6121834524)","1,283",253,125,34,22
UNION,"6,867",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2016,2016 Q3,07/01/2016,60,60,42,119,"(40.9647313096, -77.0641580308)","1,979",296,72,21,49
GREENE,"7,161",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q1,01/01/2017,30,30,42,059,"(39.8548039342, -80.2294381655)","1,570",481,1,12,37
WARREN,"6,840",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q2,04/01/2017,62,62,42,123,"(41.8167523652, -79.278581578)","1,741",234,60,5,51
SUSQUEHANNA,"5,174",Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,58,58,42,115,"(41.8205685982, -75.8025030296)","2,466",321,89,21,44
SULLIVAN,561,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations,Quarterly Counts,2017,2017 Q4,10/01/2017,57,57,42,113,"(41.4480993958, -76.5147922046)","1,389",416,88,21,67
