Name of SCA,Street Address,City,Zip Code,County,State,Latitude,Longitude,Phone Number,State FIPS Code,County FIPS Code,New Georeferenced Column,Pennsylvania County Boundaries,Pa Senatorial Districts (2017-01),Pa House Districts (2017-01),Pa School Districts (2017),Municipality Boundary
Columbia Montour Snyder Union Drug and Alcohol Program,5 Terrace Lane,Danville,17821,Montour,Pennsylvania,40.9471,-76.5966,1-800-222-9016,42,93,,,,,,
York Adams Drug and Alcohol Commission,"100 West Market Street, Suite B04",York,17401,Adams,Pennsylvania,39.9618,-76.73,717-771-9222,42,1,"100 West Market Street, Suite B04
York, Pennsylvania 17401
(39.96173, -76.730117)",12,24,135,495,1155
Berks County Council on Chemical Abuse,"601 Penn Street, Suite 600",Reading,19601,Berks,Pennsylvania,40.3358,-75.9254,484-628-8186,42,11,"601 Penn Street, Suite 600
Reading, Pennsylvania 19601
(40.335265, -75.925407)",45,31,117,297,39
Cambria County Drug and Alcohol Program,"110 Franklin Street, Suite 300",Johnstown,15901,Cambria,Pennsylvania,40.3263,-78.9176,814-535-8531,42,21,"110 Franklin Street, Suite 300
Johnstown, Pennsylvania 15901
(40.326332, -78.917209)",2,16,21,208,339
Somerset County Drug and Alcohol,"300 North Center Avenue, Suite 360",Somerset,15501,Somerset,Pennsylvania,40.0111,-79.0779,814-445-1530,42,111,"300 North Center Avenue, Suite 360
Somerset, Pennsylvania 15501
(40.010496, -79.078589)",66,1,30,428,7
"Cameron Elk McKean Counties Alcohol and Drug Abuse Services, Inc.","12 Church St., Suite 100",Port Allegany,16743,McKean,Pennsylvania,41.8131,-78.2809,814-642-9522,42,83,"12 Church St., Suite 100
Port Allegany, Pennsylvania 16743
(41.819254, -78.284764)",47,14,14,293,1161
Erie County Office of Drug and Alcohol Abuse,"155 West 8th Street, Suite 418",Erie,16501,Erie,Pennsylvania,42.1264,-80.0873,814-459-4775,42,49,"155 West 8th Street, Suite 418
Erie, Pennsylvania 16501
(42.126203, -80.087295)",30,4,50,61,2182
Lebanon County Commission on Drug and Alcohol Abuse,220 East Lehman Street,Lebanon,17046,Lebanon,Pennsylvania,40.3464,-76.408,717-274-3363,42,75,"220 East Lehman Street
Lebanon, Pennsylvania 17046
(40.346369, -76.408431)",25,28,151,310,203
"Fayette County Drug and Alcohol Commission, Inc.","100 New Salem Road, Suite 106",Uniontown,15401,Fayette,Pennsylvania,39.9114,-79.7498,724-438-3576,42,51,"100 New Salem Road, Suite 106
Uniontown, Pennsylvania 15401
(39.90907, -79.762686)",31,1,7,204,1284
Carbon Monroe Pike Drug and Alcohol Commission,"724 Phillips Street, Suite 203",Stroudsburg,18360,Pike,Pennsylvania,40.9917,-75.1991,570-421-1960,42,103,"724 Phillips Street, Suite 203
Stroudsburg, Pennsylvania 18360
(40.991467, -75.198723)",56,38,110,400,242
