County Name,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2
Adams,0.0009,,0.0005,0.0002,,,0.0015,0.0006,0.0014,0.1255,0.0020,0.0016,0.0005,,0.0003,0.0005,0.0004,0.0009,0.0243,0.0007,0.0008,0.0003
Allegheny,0.0205,0.0336,0.1194,0.0066,0.0479,0.0012,0.1612,0.0098,0.0041,0.0054,0.0326,0.0305,0.0235,0.1399,0.0216,0.0126,0.0016,0.0205,0.0069,0.1053,0.2533,0.0050
Armstrong,0.0004,0.0026,0.0099,0.0092,0.0063,0.0031,0.0017,0.0013,0.0026,0.0034,0.0005,0.0011,0.0026,0.0019,0.0681,0.0016,0.0038,0.0061,0.0017,0.0008,0.0029,0.0005
Beaver,0.0049,,,0.0251,0.0165,0.0010,0.0098,0.0020,0.0126,0.0026,0.0019,0.0051,,0.0041,,0.0010,0.0286,0.0003,0.0023,0.0043,0.0010,0.0036
Bedford,,0.0022,,,,0.0003,0.0005,0.0210,0.0026,0.0005,0.0072,0.0016,0.0005,0.0020,0.0671,0.0005,0.0261,0.0014,0.0020,0.0031,0.0002,0.0005
Berks,0.0140,0.0011,0.0004,0.0006,0.0004,0.0005,0.0005,0.0008,0.0297,2.7659,0.0112,0.0018,0.0091,0.0009,0.0495,0.1081,0.0012,0.0025,0.0413,0.0083,0.0009,0.0031
Blair,,0.0010,0.0006,0.0055,0.0021,0.0000,,0.0010,,0.0024,0.0010,0.0010,,0.0005,,0.0003,0.0003,,0.0040,0.0027,0.0060,
Bradford,0.0014,0.0025,0.0202,0.0072,0.0031,0.0186,0.0095,,0.0103,0.0044,0.0061,0.0029,0.2720,0.0013,0.0122,,,0.0797,0.0011,0.0343,0.1252,0.0383
Bucks,0.0011,0.0005,0.0030,0.0014,0.0014,0.0028,0.0025,0.0008,0.0023,0.0004,0.0009,0.0023,0.0628,0.0007,0.0017,0.0018,0.0011,0.0159,0.0004,0.0034,0.2003,0.0307
Butler,,0.0181,0.0011,,0.0088,0.0015,0.0039,0.0021,0.0026,0.0014,0.0619,0.0034,0.0016,0.0048,0.0083,0.0056,0.0033,0.0104,0.0674,0.0064,0.0026,0.0021
Cambria,,,,0.0002,0.0005,0.0069,0.0026,0.0010,,0.0065,0.0056,0.0014,0.0014,0.0849,0.0011,,0.0003,0.0009,0.0003,0.0500,0.0008,
Cameron,,,,,,,,,,,,,,,,,,,,,,
Carbon,0.0004,0.0012,0.0008,0.0006,0.0819,0.0034,0.0034,0.0002,0.0118,0.0093,0.0034,0.0060,0.0411,0.0246,0.0218,0.0029,0.0064,0.0027,0.0013,0.0018,0.0101,0.0007
Centre,0.0091,0.0003,0.0100,0.0014,0.0058,0.0042,0.0007,0.0007,0.0078,0.0022,0.0102,0.0044,,0.0015,0.1075,0.0018,0.0096,0.2518,0.0028,0.0007,0.0017,0.0005
Chester,0.0077,0.0016,0.0035,0.0092,0.0296,0.0033,0.0012,0.0019,0.0069,0.0056,0.0047,0.0012,0.0012,0.0489,0.0110,0.6313,0.0007,0.0019,0.0131,0.0022,0.0009,0.0012
Clarion,0.0005,,0.0003,0.0009,0.0001,,,,,0.0080,0.0008,0.0304,0.0010,0.0017,0.0080,0.0085,0.0015,,0.0010,0.0010,0.0018,
Clearfield,,0.0005,0.0003,0.0025,0.0004,0.0020,0.0011,,0.0004,,,0.0003,0.0015,,,,0.0004,0.0001,0.0010,0.0003,0.0001,0.0005
Clinton,0.0005,,0.0000,0.0082,0.0487,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,,,0.0000,0.0000,,,0.0003
Columbia,0.0005,,,0.0082,0.0487,,,,,,,0.0001,,,,,0.0010,0.0000,,,,0.0004
Crawford,0.0008,0.0002,0.0003,0.0011,0.0013,0.0007,0.0004,,0.0014,0.0084,0.0009,0.0003,0.0005,0.0008,0.0004,0.0052,0.0195,0.0010,0.0001,0.0003,0.0010,0.0008
Cumberland,0.2504,0.0025,0.0001,0.0013,0.1855,0.0723,0.0028,0.0007,0.0005,0.0709,0.0083,0.0014,0.0017,0.0048,0.0012,0.0012,0.0008,0.0013,0.0077,0.0018,0.0646,0.0047
Dauphin,0.0055,0.0004,0.5088,0.0026,0.0068,0.0134,0.5310,0.0093,0.1521,0.0062,0.0430,0.0530,0.0041,0.0215,0.0460,0.0015,0.0063,0.0022,0.0424,0.1645,0.0057,0.0030
Delaware,0.0649,0.0009,0.0010,0.6265,0.0017,0.3974,0.0238,0.0013,0.0116,0.0008,0.0007,0.0023,0.0160,0.0012,0.1277,0.0025,0.0029,0.0008,0.0011,0.0019,0.0057,0.0020
Elk,,0.0002,,,,,,,,,,,,0.0010,,,,,,,,
Erie,0.0104,0.0005,0.0107,0.0009,0.0007,0.0014,0.0006,0.0005,0.0030,0.0019,0.0011,0.0024,0.0009,0.0011,0.0037,0.0022,0.0009,0.0021,0.0013,0.0091,0.0012,0.0163
Fayette,0.0012,0.0026,0.0093,0.0008,0.0013,0.0009,0.0097,0.0059,0.0015,0.0602,0.0018,0.0071,0.0014,0.0009,0.0028,0.0016,0.0024,0.0038,0.0062,0.0018,0.0198,0.0014
Forest,,,,,,,0.0022,0.0029,,0.2547,,,0.0010,,0.0004,,,,,,,
Franklin,0.0000,0.0020,0.0008,0.0003,0.0001,0.0000,0.0000,0.0002,0.0000,0.0006,0.0010,0.0004,0.0028,0.0003,0.0001,0.0007,0.0004,0.0003,0.0000,0.0000,0.0000,0.0000
Fulton,,0.0010,0.0011,0.0020,0.0005,0.0000,,0.0004,,0.0040,0.0010,0.0015,0.0101,0.0011,0.0008,0.0014,0.0010,0.0005,,,0.0001,
Greene,0.0004,0.0045,0.0001,,0.0001,0.0010,,0.0003,0.0001,0.0143,0.0011,,,,0.0003,,,,,0.0003,,
