County,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2
Adams,0.0083800,,0.0005000,0.0004280,,,0.0043700,0.0023000,0.0071000,0.3764000,0.0140000,0.0031000,0.0015300,,0.0021800,0.0010100,0.0020900,0.0042800,0.0243400,0.0020600,0.0015000,0.0005010
Allegheny,0.4295300,0.5038000,2.2691650,0.0856400,0.5267500,0.0081100,1.2895630,0.0295000,0.0568400,0.1407200,0.2605500,0.2749300,0.7037300,2.0981400,0.2807500,0.1760600,0.0144300,0.2249600,0.0625400,1.0527100,1.0131000,0.0150000
Armstrong,0.0007200,0.0051000,0.0298000,0.0276200,0.0253100,0.0402200,0.0066000,0.0144550,0.0280800,0.0169010,0.0050050,0.0054000,0.0409500,0.0167200,1.1582440,0.0130000,0.0302000,0.0305100,0.0104000,0.0041000,0.0173000,0.0005000
Beaver,0.0342000,,,0.0502000,0.0330000,0.0050100,0.0295000,0.0020000,0.1507350,0.0522500,0.0134400,0.0152200,,0.0162000,,0.0020500,0.1145000,0.0008000,0.0090400,0.0128000,0.0039500,0.0180000
Bedford,,0.0044000,,,,0.0005200,0.0021010,0.0210000,0.0104000,0.0025000,0.0358500,0.0048000,0.0037000,0.0020000,0.3355300,0.0016400,0.1828000,0.0085300,0.0020000,0.0155000,0.0007200,0.0010000
Berks,0.0420000,0.0031500,0.0014600,0.0060800,0.0031200,0.0120690,0.0048000,0.0085520,0.2677000,30.4246700,0.3914600,0.0249300,0.1091290,0.0086100,1.0900300,0.5403740,0.0074100,0.0100000,0.2890620,0.0250000,0.0047000,0.0341940
Blair,,0.0010000,0.0025000,0.0110000,0.0165630,0.0000300,,0.0010200,,0.0291700,0.0057600,0.0010000,,0.0010000,,0.0006000,0.0003000,,0.0040000,0.0081000,0.0060000,
Bradford,0.0044500,0.0017830,0.0002450,0.0004800,0.0008410,0.0011400,0.0032700,,0.0059300,0.0006000,0.0011100,0.0033600,0.0111800,0.0091600,0.0078000,,,0.0010000,0.0011000,0.0005000,0.0043300,0.0082000
Bucks,0.0125230,0.0024700,0.0605000,0.0143700,0.0124000,0.0558000,0.0476800,0.0097700,0.0515620,0.0088300,0.0242800,0.0228000,0.8159100,0.0118200,0.0243190,0.0089000,0.0098700,0.0797000,0.0021500,0.0343300,1.0015600,0.1533300
Butler,,0.0362000,0.0044000,,0.0440000,0.0044000,0.0393010,0.0171370,0.0210010,0.0083500,0.4953000,0.0171500,0.0356500,0.0816000,0.0498300,0.0562000,0.0430300,0.1455010,1.0110610,0.0514000,0.0130000,0.0083000
