Week Begin Date,County Name,County Code,County FIPS Code,Latitude/Longitude,Total Calls,Total Intakes,Callers Receiving Warm-Line Connection,Male Callers,Female Callers,Callers Using Heroin,Callers Using Cannabis,Callers Using Alcohol,Callers Using Benzodiazepines,Callers Using Opiates,Callers Using Hallucinogens,Callers Using Stimulants,Callers Using Depressants,"Callers Using Narcotics, Not Specified",Callers Using Methadone,Callers Receiving at Least 1 Resource,Callers Receiving Information and Resources Only,Callers Referred for Assessment,Callers Referred to Outpatient Treatment,Callers Referred to MAT,Callers Referred for Detox/Crisis Stabilization,Callers Referred to Intensive Outpatient Treatment,Callers Referred to Inpatient Residential Treatment,Callers Referred to the Emergency Room,Callers Referred for Recovery Support,Callers Referred to Social Services,Callers Referred to their SCA
11/10/2016,Adams,1,42001,"(39.8720956503, -77.2222427076)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Allegheny,2,42003,"(40.4673554298, -79.9861984282)",,15,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Armstrong,3,42005,"(40.8150952555, -79.4731689893)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Beaver,4,42007,"(40.6834924548, -80.3510735648)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Bedford,5,42009,"(40.0073753643, -78.4911647381)",,2,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Berks,6,42011,"(40.4193963513, -75.9307732705)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Blair,7,42013,"(40.4855502384, -78.349076871)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Bradford,8,42015,"(41.7911781401, -76.5182562384)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Bucks,9,42017,"(40.335011331, -75.1129124111)",,7,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Butler,10,42019,"(40.9108318483, -79.9171177889)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Cambria,11,42021,"(40.4912749067, -78.7189417385)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Cameron,12,42023,"(41.4388026531, -78.2091693241)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Carbon,13,42025,"(40.9193670081, -75.7110703866)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Centre,14,42027,"(40.9193135008, -77.8250011212)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Chester,15,42029,"(39.9748705566, -75.7562649818)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Clarion,16,42031,"(41.1927912877, -79.4248360769)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Clearfield,17,42033,"(41.0004290024, -78.4755834299)",,2,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Clinton,18,42035,"(41.2328627374, -77.6428376046)",,2,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Columbia,19,42037,"(41.0491208559, -76.4100217975)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Commonwealth,0,42000,"(39.346129, -75.167756)",196,110,91,75,35,,,,,,,,,,,110,1,1,10,8,64,2,21,13,2,0,0
11/10/2016,Crawford,20,42039,"(41.6854690692, -80.1132108295)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Cumberland,21,42041,"(40.167598388, -77.268662705)",,3,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Dauphin,22,42043,"(40.4197463597, -76.7796056802)",,5,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Delaware,23,42045,"(39.9165786652, -75.4062771212)",,7,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Elk,24,42047,"(41.4281941606, -78.6494771322)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Erie,25,42049,"(41.9941378702, -80.0407591036)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Fayette,26,42051,"(39.919447803, -79.6518963464)",,3,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Forest,27,42053,"(41.5135787577, -79.2378099483)",,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Franklin,28,42055,"(39.9278619704, -77.7239884483)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Fulton,29,42057,"(39.9248751086, -78.1148504535)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Greene,30,42059,"(39.8548039342, -80.2294381655)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Huntingdon,31,42061,"(40.4161050032, -77.9827661036)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Indiana,32,42063,"(40.6529549748, -79.0933349286)",,0,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,Jefferson,33,42065,"(41.1313909115, -79.0010181419)",,1,,,,,,,,,,,,,,,,,,,,,,,,,
