Link-Statewide,Class,Count,County,Dashboard,Link-PDMPNotes,Link-OverdoseNotes,Link-Contact,Link-Emergency,Measure1,Notes,Number of Records,Link-Controlled,Time Measure,Time Period
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.559840756,ADAMS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.918553548,ALLEGHENY,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.664187035,ARMSTRONG,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.268096515,BEDFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.899553783,BERKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.531643416,BLAIR,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.367541078,BRADFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.772427775,BUCKS,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.723182001,BUTLER,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.313851411,CAMBRIA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.340233546,CARBON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,2.062340454,CENTRE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.370627751,CLARION,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.136363636,CLINTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.534188034,CRAWFORD,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.999578491,CUMBERLAND,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.887542328,DAUPHIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.075289763,DELAWARE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.498338870,ELK,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.776548243,FAYETTE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.734960987,FRANKLIN,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,1.073619632,FULTON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.430351076,GREENE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.911779202,HUNTINGDON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.425002591,INDIANA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.800977464,LACKAWANNA,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.974449474,LAWRENCE,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
Statewide Drug Dispensation and Overdose Measures,Any Drug Overdose,0.647465952,LEBANON,OVERDOSE,PDMP Data Technical Notes,Overdose Data Technical Notes,Contact Information,Emergency Department (ED) Visits for Overdoses,Percent of Emergency Department Visits Related to Overdose,,1,Controlled Substance Dispensations,Quarterly Rates,2016 Q3
